"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","Related","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated Name","Contributors","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Folio dimensions","Support","Foliation","Collation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Binding condition","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection","Other version(s)","IIIF Manifest URL","delivery","image count","Viscodex"
"","","Sinai, St. Catherine’s Monastery, Arabic 60","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z57pm%2F4z96jm6b/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z11z57pm","Work","Psalter and Odes","Bible. Psalms|~|Bible. Odes|~|Psalter","","1601/1701","17th c. CE","","","","","","Colophon on f. 83v","","","Kamil","","","83 ff.","516.7 g","Codex","211 x 154 x 29 mm","","Paper","","","","","Partial border on ff. 3r, 65r, 76r, 83v, red dots and a flourish form an inverted triangle","","","","","","Rubrication|~|Marginalia|~|Border(s), Decorative|~|Colophon","","text","Biblical texts|~|Liturgical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 60","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891602 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11z57pm/manifest","delivery 1","176",""
"","","Sinai, St. Catherine’s Monastery, Arabic 602","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn58f6%2Frg44zf35/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1dn58f6","Work","Prophetologion for Lent","Prophetologion","","1601/1700","17th c. CE","","","","","","","","","Kamil","","","119 ff.","780.2 g","Codex","317 x 222 x 27 mm","","Paper","","","Double columns","","Borders throughout, beginning on f. 1r","Inscription on inside back board","","Binding lacking","","","Rubrication|~|Border(s), Decorative|~|Inscription(s)","One front-end leaf. Last leaf detached with rodent damage. ff. 80, 107, 108, and 119 lacking. Leaf holes and text loss from f. 118.","text","Liturgical texts|~|Lectionaries|~|Biblical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 602","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891689 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dn58f6/manifest","delivery 1","246",""
"","","Sinai, St. Catherine’s Monastery, Arabic 624","Prayers","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w4hnk%2Ft853n59q/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z18w4hnk","Work","","Liturgy of Saint John Chrysostom","","1601/1700","17th c. CE","","John Chrysostom, Saint, -407","","","","","","","Kamil","","","23 ff.","138.3 g","Codex","224 x 165 x 12 mm","","Paper","","","Some pages with double columns (Greek on the left)","","Geometric decorations on ff. 12r, 13r, 14r, fleurons | Decorated Greek initials on ff. 2r-11r; f. 20r with leaves","","","","","","Rubrication|~|Decoration, Geometric|~|Initial(s), Decorated","","text","Liturgical texts","ara|~|grc","right-to-left","Arabic|~|Greek","Greek minuscule|~|Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 624","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871437 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18w4hnk/manifest","delivery 1","57",""
"","","Sinai, St. Catherine’s Monastery, Arabic 628","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1543rwq%2Fwx40pm37/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1543rwq","Work","Four Gospels","Bible. Gospels","","1336","1336 CE","","","","","Preceded by index and short introduction, followed by table of Gospel lessons to be recited throughout the year |~| Tables of contents on ff. 37r-38r; ff. 59r- 61r ","","","","Kamil","","","141 ff.","975.5 g","Codex","253 x 195 x 47 mm","","Paper","","","","","Architectural decoration on end flyleaf 1v, altar | Geometric decoration on end flyleaf 1r, two crowns","","","","","","Rubrication|~|Dated|~|Marginalia|~|Decoration, Geometric|~|Table of Contents","","text","Biblical texts|~|Gospel books","ara|~|grc","right-to-left","Arabic|~|Greek","Greek minuscule|~|Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 628","Old Collection","https://www.loc.gov/item/0027939074A-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1543rwq/manifest","delivery 1","294",""
"","","Sinai, St. Catherine’s Monastery, Arabic 65","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x64r73%2Ftg97gf3g/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1x64r73","Work","Psalter and Commentary","Bible. Psalms|~|Psalter","","1201/1300","13th c. CE","","Anṭākī, ʻAbd Allāh ibn al-Faḍl, -approximately 1052","","","151 Psalms with Commentary by Bishop ‘Abdallah ibn al-Fadl of Antioch","","","","Kamil","","","258 ff.","938.8 g","Codex","185 x 146 x 69 mm","","Paper","","","","","","","","","","","Rubrication|~|Marginalia","","text","Biblical texts|~|Liturgical texts|~|Commentaries","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 65","Old Collection","https://www.loc.gov/item/00279385950-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x64r73/manifest","delivery 1","526",""
"","","Sinai, St. Catherine’s Monastery, Arabic 67","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf40hr%2Fr402m27p/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1sf40hr","Work","Psalter and Commentary","Bible. Psalms|~|Psalter","","1537","1537 CE","","","","","","","","","Kamil","","","218 ff.","1227.0 g","Codex","235 x 160 x 77 mm","","Paper","","","","","","","","","","","Rubrication|~|Dated|~|Marginalia","A few loose leaves","text","Biblical texts|~|Liturgical texts|~|Commentaries","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 67","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891606 ","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sf40hr/manifest","delivery 1","446",""
"","","Sinai, St. Catherine’s Monastery, Arabic 7","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321071%2F3v05x46w/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1321071","Work","","Bible. Chronicles","","901/1000","10th c. CE","","","","","Chronicles I-II","","","","Kamil","","","75 ff.","398.0 g","Codex","275 x 172 x 24 mm","","Paper","","","","","","","","","","","Rubrication|~|Marginalia","No front board. Inside back board has paste-down. ff. 57–75 have loose quires.","text","Biblical texts","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 7","Old Collection","https://www.loc.gov/item/00279385834-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1321071/manifest","delivery 1","164",""
"","","Sinai, St. Catherine’s Monastery, Arabic 9","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr03rq%2F2x17dr4p/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1sr03rq","Work","","Bible. Old Testament","","1201/1300","13th c. CE","","","","","Books of Isaiah, Hosea, Joel, Amos, Obadiah, Jonas, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah. Malachi, Jeremiah, the Lamentations of Jeremiah, Ezekiel and Daniel. Also story of Susanna, according to the Septuagint.","","","","Kamil","","","347 ff.","2412.2 g","Codex","274 x 188 x 95 mm","","Paper","","","","","Ornate headpiece on f. 343v, intertwined vines with thorns, elevated cross | Decorative border on f. 343v; partial border on ff. 344r-347r","Donation inscription on f. 1v","","","","","Rubrication|~|Marginalia|~|Headpiece(s)|~|Decoration, Vegetative|~|Decoration, Geometric|~|Border(s), Decorative|~|Inscription(s)","","text","Biblical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 9","Old Collection","","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sr03rq/manifest","delivery 1","704",""
"","","Sinai, St. Catherine’s Monastery, Syriac 126","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74j17%2Fj554hc3c/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1g74j17","Work","","Anthologion","","1201/1300","13th c. CE","","","","Grigory Kessel","","","","","Kamil","","","243 ff.","984.6 g","Codex","184 x 143 x 76 mm","","Paper","","","","","Minor geometric headpieces on f. 2r | Geometric decoration throughout, beginning on  f.  10v | Ornate headpiece on f. 177r, geometric motif in red, yellow, and green ink","","","","","","Rubrication|~|Marginalia|~|Headpiece(s)|~|Decoration, Geometric","","text","Liturgical texts","syc","right-to-left","Syriac","Melkite","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 126","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891719 ","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g74j17/manifest","delivery 1","496",""
"","","Sinai, St. Catherine’s Monastery, Syriac 127","Services","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg3sbz%2Fq2646q5q/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1bg3sbz","Work","","","","1294","1294 CE","","","","Grigory Kessel","","","","","Kamil","","","202 ff.","959.7 g","Codex","193 x 149 x 76 mm","","Paper","f. 55 lacking","","","","Ornate headpiece on f. 4r, two large knots in the center, two leaves, bordered by knotwork, with an elevated cross | Minor geometric headpieces throughout, beginning on f. 8r","","","","","","Rubrication|~|Marginalia|~|Headpiece(s)|~|Dated|~|Decoration, Geometric","","text","Liturgical texts","syc","right-to-left","Syriac","Melkite","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 127","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891720 ","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg3sbz/manifest","delivery 1","414",""
"","","Sinai, St. Catherine’s Monastery, Syriac 129","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q31h8%2Fvm744d4n/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z16q31h8","Work","Typikon Jerusalem","Typikon","","1245","1245 CE","","","","Grigory Kessel","","Colophon on ff. 145r-145v","","و أعفوا الكاتب […]","Kamil","","","152 ff.","754.8 g","Codex","189 x 149 x 63 mm","","Paper","","","","","Headpiece on f. 6r, interlace | Minor geometric headpieces throughout, beginning on f. 7v | Borders on ff. 145r, 145v","","","","","","Rubrication|~|Dated|~|Headpiece(s)|~|Decoration, Geometric|~|Border(s), Decorative|~|Colophon","Beginning folia torn out (starts in the middle of section 4)","text","Liturgical texts","syc","right-to-left","Syriac|~|Arabic","Melkite|~|Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 129","Old Collection","https://www.loc.gov/item/00279387867-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16q31h8/manifest","delivery 1","314",""
"","","Sinai, St. Catherine’s Monastery, Syriac 190","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z28sj%2F6d60sp4z/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z12z28sj","Work","","Triodion","","1201/1300","13th c. CE","","","","Grigory Kessel","","","","","Kamil","","","238 ff.","1415.6 g","Codex","230 x 160 x 88 mm","","Paper","","","","","Minor geometric headpieces on ff. 8v, 52v, 209v","","","","","","Rubrication|~|Marginalia|~|Headpiece(s)|~|Decoration, Geometric","First quire missing","text","Liturgical texts|~|Hymnals","syc","right-to-left","Syriac","Melkite","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 190","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871468 ","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z28sj/manifest","delivery 1","486",""
"","","Sinai, St. Catherine’s Monastery, Syriac 202","Services","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z61s9k%2Fmm76tb0z/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1z61s9k","Work","","","","1201/1300","13th c. CE","","","","Grigory Kessel","","","","","Kamil","","","457 ff.","3500.8 g","Codex","293 x 207 x 125 mm","","Paper","","","","","Minor geometric headpieces on ff. 51r, 108v, 159v, 349v, 422v","","","","","","Rubrication|~|Marginalia|~|Decoration, Geometric","","text","Liturgical texts","syc","right-to-left","Syriac|~|Arabic","Melkite|~|Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 202","Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871473 ","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z61s9k/manifest","delivery 1","926",""
"","","Sinai, St. Catherine’s Monastery, Syriac 208","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf11mp%2F3254nq87/full/!200,200/0/default.jpg","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1tf11mp","Work","","Octoechos","","1224","1224 CE","","","","Grigory Kessel","","Colophon on f. 58","","","Kamil","","","290 ff.","2119.8 g","Codex","280 x 201 x 90 mm","","Paper|~|Parchment","ff. 134 and 270 lacking; f. 269 is labeled both ""269"" and ""270""","","","","Minor geometric headpieces throughout, beginning on f. 4r | Geometric decoration on ff. 16v, 225r, 225v | Headpiece on f. 30v, knotwork with diamond motif; ff. 58v, 109v, 163v, diamond grid; f. 79v, linked chain with diamonds; ff. 186v, 269v, knotwork","","","","","","Rubrication|~|Marginalia|~|Dated|~|Decoration, Geometric","","text","Liturgical texts|~|Hymnals","syc|~|ara","right-to-left","Syriac|~|Arabic","Melkite","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac 208","Old Collection","https://www.loc.gov/item/00279388690-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tf11mp/manifest","delivery 1","591",""
